,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
312,tt0808012,tvSeries,The Best and Worst of Tred Barta,The Best and Worst of Tred Barta,0,2004.0,,30.0,[],5.6,15
313,tt2989624,tvEpisode,America,America,0,2013.0,,12.0,"['Action', 'Comedy']",7.4,20
314,tt0954759,tvEpisode,Ben Franklin,Ben Franklin,0,2007.0,,21.0,[],8.1,2766
315,tt9139614,tvEpisode,The Story So Far,The Story So Far,0,2018.0,,41.0,[],7.9,19
316,tt0038461,movie,Deception,Deception,0,1946.0,,115.0,"['Crime', 'Drama', 'Film-Noir']",7.1,2860
317,tt1765093,tvEpisode,Episode #40.3,Episode #40.3,0,2010.0,,30.0,"['Comedy', 'Game-Show', 'News']",6.8,5
318,tt0430868,movie,33,33,0,2002.0,,75.0,[],6.4,41
319,tt0026052,movie,Alias John Law,Alias John Law,0,1935.0,,59.0,"['Action', 'Adventure', 'Romance']",5.7,67
321,tt8947632,movie,Linglong Wells,Linglong Wells,0,2018.0,,90.0,[],3.7,10
322,tt4079196,short,M-Theory,M-Theory,0,2014.0,,16.0,"['Action', 'Sci-Fi', 'Short']",8.0,5
323,tt2016669,tvSeries,Serce,Serce,0,2008.0,2009.0,75.0,[],5.9,12
324,tt4249040,tvEpisode,Into the Bone Cave,Into the Bone Cave,0,2014.0,,43.0,[],7.5,8
325,tt4762184,tvEpisode,In the Name of the Father,In the Name of the Father,0,2015.0,,22.0,[],7.8,77
326,tt7124590,tvEpisode,Chapter Thirty-Four: Judgment Night,Chapter Thirty-Four: Judgment Night,0,2018.0,,42.0,"['Crime', 'Drama', 'Mystery']",9.1,1859
327,tt2287867,movie,Little Anna and the Tall Uncle,Lilla Anna och Långa farbrorn,0,2012.0,,47.0,"['Animation', 'Family']",5.7,19
328,tt6015276,short,From Flint: Voices of a Poisoned City,From Flint: Voices of a Poisoned City,0,2016.0,,25.0,[],9.0,16
329,tt1882053,video,Chick Magnet,Chick Magnet,0,2011.0,,93.0,[],2.3,1012
330,tt6583418,tvEpisode,Come voleva la prassi,Come voleva la prassi,0,2017.0,,113.0,"['Crime', 'Drama', 'Mystery']",8.0,100
331,tt6181738,video,Pornstars Like It Black 2,Pornstars Like It Black 2,1,2016.0,,192.0,[],6.2,6
334,tt0365897,tvMovie,The Virtual Corpse,The Virtual Corpse,0,2003.0,,45.0,[],5.7,15
337,tt1319947,tvEpisode,The Fugitive,Owarerumi,0,2004.0,,23.0,"['Animation', 'Crime', 'Drama']",7.4,141
339,tt0207427,movie,La donzelletta,La donzelletta,0,1989.0,,64.0,[],4.4,5
340,tt0629107,tvEpisode,The Dating Game,The Dating Game,0,1980.0,,30.0,"['Comedy', 'Family']",7.4,30
341,tt1990775,tvEpisode,Naughty Nurses,Naughty Nurses,0,2011.0,,43.0,[],7.6,5
342,tt0046136,movie,Der Obersteiger,Der Obersteiger,0,1952.0,,90.0,[],6.8,8
344,tt3209826,movie,Patel Ki Punjabi Shaadi,Patel Ki Punjabi Shaadi,0,2017.0,,120.0,[],4.0,293
345,tt2076213,short,Hameno Koritsi,Hameno Koritsi,0,2012.0,,34.0,"['Drama', 'Horror', 'Short']",6.6,35
346,tt6528070,short,An Auto Body Experience,An Auto Body Experience,0,2015.0,,4.0,"['Crime', 'Short', 'Thriller']",8.4,5
347,tt0576500,tvEpisode,Tomorrow I Die,Tomorrow I Die,0,1995.0,,30.0,"['Crime', 'Drama', 'Mystery']",6.1,44
348,tt0036572,movie,1812,Kutuzov,0,1944.0,,95.0,[],7.0,80
349,tt2992634,short,La Niña,La Niña,0,2012.0,,39.0,[],6.7,10
350,tt7033478,tvEpisode,Everything I Can Do ... I CHOSE This Way of Life,Everything I Can Do ... I CHOSE This Way of Life,0,2017.0,,23.0,"['Action', 'Animation', 'Fantasy']",8.9,39
351,tt0629546,tvEpisode,Inert Dwarf,Inert Dwarf,0,2004.0,,55.0,"['Crime', 'Drama', 'Mystery']",8.1,176
352,tt2475872,tvEpisode,Sarah & Mari,Sarah & Mari,0,2012.0,,43.0,[],8.4,16
353,tt0463381,movie,Transylvania,Transylvania,0,2006.0,,103.0,[],6.8,2351
354,tt11780608,tvEpisode,Will You Marry Me?,Will You Marry Me?,0,2020.0,,59.0,[],6.1,123
355,tt1312993,movie,Mafrouza - Oh la nuit!,Mafrouza - Oh la nuit!,0,2007.0,,140.0,[],7.0,6
357,tt4084774,tvEpisode,Trial and Punishment,Trial and Punishment,0,2015.0,,56.0,"['Adventure', 'Drama']",8.8,289
358,tt0228197,movie,Death Magic,Death Magic,0,1992.0,,93.0,"['Horror', 'Thriller']",4.4,23
359,tt0051254,tvSeries,The Betty White Show,The Betty White Show,0,1958.0,,30.0,"['Comedy', 'Music']",6.5,17
360,tt0624858,tvEpisode,Split the Difference,Split the Difference,0,1967.0,,60.0,[],7.3,15
361,tt1226244,movie,Mysteries,Mistéryos,0,2008.0,,81.0,[],4.8,24
362,tt0014903,short,The First 100 Years,The First 100 Years,0,1924.0,,14.0,"['Comedy', 'Short']",7.1,94
363,tt0109601,movie,Les derniers jours d'Emmanuel Kant,Les derniers jours d'Emmanuel Kant,0,1996.0,,70.0,[],7.1,64
364,tt0090469,tvSeries,The Last Precinct,The Last Precinct,0,1986.0,1986.0,60.0,[],7.7,35
365,tt9466572,tvShort,Campofrío: La tienda LOL,Campofrío: La tienda LOL,0,2018.0,,3.0,"['Comedy', 'Sci-Fi', 'Short']",6.3,26
366,tt1776201,movie,Hawi,Hawi,0,2010.0,,112.0,[],5.9,430
367,tt0852840,tvEpisode,Deadly Straw,Deadly Straw,0,2006.0,,50.0,"['Documentary', 'Mystery', 'Reality-TV']",7.4,103
368,tt2766470,tvEpisode,Swearing,Swearing,0,1999.0,,2.0,"['Animation', 'Comedy', 'Short']",7.5,8
369,tt5343728,tvEpisode,Potato Power,Potato Power,0,2016.0,,22.0,"['Comedy', 'Drama', 'Musical']",8.6,5
370,tt1876425,movie,Psycho Killer Bloodbath,Psycho Killer Bloodbath,0,2011.0,,95.0,"['Action', 'Horror', 'Thriller']",4.1,9
371,tt0503743,tvEpisode,The Ring,The Ring,0,2002.0,,60.0,"['Comedy', 'Drama', 'Family']",7.1,50
372,tt11193026,short,Coordinated Film,Coordinated Film,0,2019.0,,38.0,[],10.0,6
374,tt1673684,short,Stainless Assassin,Stainless Assassin,0,2010.0,,5.0,"['Action', 'Drama', 'Short']",4.9,15
375,tt0151531,movie,Magic Samson,Melech Hasalim,0,1988.0,,90.0,"['Comedy', 'Drama', 'Sport']",6.4,43
376,tt5074264,tvEpisode,Snow Wabbit/Aromatherapest,Snow Wabbit/Aromatherapest,0,2015.0,,11.0,"['Adventure', 'Animation', 'Comedy']",6.2,8
377,tt5502778,tvEpisode,Moral Hazard,Moral Hazard,0,2016.0,,42.0,"['Crime', 'Drama', 'Mystery']",8.6,144
379,tt2145794,short,The Dictator's Speech,The Dictator's Speech,0,2011.0,,4.0,"['Comedy', 'Short']",8.3,17
380,tt0118630,tvMovie,Any Place But Home,Any Place But Home,0,1997.0,,92.0,"['Crime', 'Drama', 'Thriller']",5.4,179
381,tt0074214,movie,Black Shampoo,Black Shampoo,0,1976.0,,85.0,"['Action', 'Comedy', 'Crime']",4.5,640
382,tt9668778,tvEpisode,Everything Wrong with American Beauty in 12 Minutes or Less,Everything Wrong with American Beauty in 12 Minutes or Less,0,2015.0,,14.0,[],7.0,6
383,tt0347971,tvMovie,The Secret Identity of Jack the Ripper,The Secret Identity of Jack the Ripper,0,1988.0,,80.0,"['Documentary', 'Drama']",7.1,83
385,tt0472259,movie,Alone with Her,Alone with Her,0,2006.0,,78.0,"['Crime', 'Drama', 'Thriller']",6.0,3738
387,tt0556902,tvEpisode,The Wizard of Aberdeen,The Wizard of Aberdeen,0,1970.0,,30.0,[],8.1,17
388,tt10243628,tvSeries,Jailbirds,Jailbirds,0,2019.0,,45.0,[],7.2,738
390,tt6531888,tvSeries,Transferts,Transferts,0,2017.0,,56.0,"['Sci-Fi', 'Thriller']",7.4,691
394,tt6017168,tvEpisode,Episode #1.13635,Episode #1.13635,0,2016.0,,36.0,"['Crime', 'Drama', 'Romance']",8.8,6
395,tt0078135,short,Rah Hal-e Yek,Rah Hal-e Yek,0,1995.0,,11.0,"['Drama', 'Short']",7.2,43
396,tt1655035,tvEpisode,Dix-sept survivants,Dix-sept survivants,0,2010.0,,26.0,[],7.4,9
397,tt1518200,video,Going Back to 17,Going Back to 17,0,2009.0,,3.0,"['Documentary', 'Short']",7.2,6
399,tt0629203,tvEpisode,Charm City,Charm City,0,1996.0,,47.0,"['Crime', 'Drama', 'Mystery']",8.0,158
401,tt0498222,tvSpecial,The 8th Annual Soul Train Christmas Starfest,The 8th Annual Soul Train Christmas Starfest,0,2005.0,,120.0,"['Family', 'Music']",8.9,10
402,tt1724384,tvEpisode,Pilot,Pilot,0,2011.0,,23.0,"['Comedy', 'Romance']",5.6,47
403,tt8530898,movie,Father and Hero,Father and Hero,0,2018.0,,102.0,"['Crime', 'Drama']",7.0,5
404,tt0892788,video,Puske en Piske: Warme wafels (met poedersuiker),Puske en Piske: Warme wafels (met poedersuiker),0,2006.0,,7.0,"['Action', 'Comedy', 'Short']",8.1,16
406,tt1384803,movie,The End of the World as We Knew It,The End of the World as We Knew It,0,2008.0,,60.0,[],7.8,8
407,tt6985144,tvSeries,Miguel,Miguel,0,2018.0,,42.0,[],7.9,38
409,tt1257570,tvMovie,The Dead Queen,La reine morte,0,2009.0,,106.0,"['Drama', 'History']",6.8,85
415,tt1871397,short,The Cremation of Sam McGee,The Cremation of Sam McGee,0,2001.0,,8.0,"['History', 'Short']",7.2,6
416,tt0033169,movie,Tom Brown's School Days,Tom Brown's School Days,0,1940.0,,86.0,[],6.7,372
417,tt1865402,movie,Horizons Crossing,Horizons Crossing,0,2011.0,,90.0,"['Drama', 'Thriller']",6.3,11
419,tt0426954,video,Barbershop Blues,Barbershop Blues,0,2004.0,,84.0,"['Mystery', 'Thriller']",5.5,13
420,tt0035823,movie,Douce,Douce,0,1943.0,,104.0,[],7.2,266
421,tt5284200,movie,Alles unter Kontrolle,Alles unter Kontrolle,0,2015.0,,93.0,[],7.3,43
422,tt0957980,tvEpisode,Mysterious Crash of Flight 201,Mysterious Crash of Flight 201,0,1993.0,,60.0,[],8.2,6
423,tt6096194,movie,Different Flowers,Different Flowers,0,2017.0,,99.0,[],5.2,457
424,tt5512646,tvEpisode,Hard Heads and Softballs,Hard Heads and Softballs,0,2016.0,,41.0,[],6.0,15
425,tt0082170,tvMovie,The Children Nobody Wanted,The Children Nobody Wanted,0,1981.0,,100.0,[],6.7,216
427,tt2165357,tvEpisode,Knock with Me - Rock with Me,Knock with Me - Rock with Me,0,2012.0,,59.0,"['Drama', 'Music']",8.0,146
428,tt1501680,tvShort,Yellowstone: Land to Life,Yellowstone: Land to Life,0,2009.0,,21.0,[],7.8,16
429,tt2511594,movie,Helium,Helium,0,2014.0,,79.0,[],6.0,102
431,tt0159656,movie,Le plus joli péché du monde,Le plus joli péché du monde,0,1951.0,,85.0,[],5.5,13
432,tt0401068,tvSeries,Sämpy,Sämpy,0,1974.0,,25.0,[],7.4,11
433,tt0914432,tvEpisode,Revenge,Revenge,0,1953.0,,30.0,"['Crime', 'Drama']",7.2,5
434,tt0382787,tvMovie,Königskinder,Königskinder,0,2003.0,,86.0,"['Drama', 'Romance']",7.4,34
436,tt1916670,movie,The Night Watchman,El Velador,0,2011.0,,72.0,[],6.7,95
437,tt1683932,short,Pink Triangle,Pink Triangle,0,2010.0,,19.0,"['Drama', 'History', 'Romance']",6.9,56
439,tt2004203,short,Death by Suffocation,Der Schübling,0,2010.0,,30.0,"['Drama', 'Short']",6.8,8
440,tt0548768,tvEpisode,Episode #7.30,Episode #7.30,0,1985.0,,30.0,[],6.6,5
441,tt0306019,movie,Rio de Janeiro - Terra Mágica,Rio de Janeiro - Terra Mágica,0,1985.0,,60.0,[],4.2,6
442,tt0300640,movie,"We, the Screenwriter","We, the Screenwriter",0,2006.0,,98.0,[],5.6,32
443,tt0391537,tvMovie,Wunschkinder und andere Zufälle,Wunschkinder und andere Zufälle,0,2003.0,,90.0,"['Comedy', 'Drama', 'Romance']",3.4,42
444,tt0457462,movie,Totally Personal,Sasvim licno,0,2005.0,,72.0,"['Biography', 'Documentary']",7.8,111
445,tt2352415,tvEpisode,Episode #1.5488,Episode #1.5488,0,2012.0,,28.0,"['Drama', 'Romance']",7.2,5
446,tt0044513,movie,Confidence Girl,Confidence Girl,0,1952.0,,81.0,"['Crime', 'Drama', 'Film-Noir']",6.1,159
448,tt0337566,video,AC/DC: Live at Donington,AC/DC: Live at Donington,0,1992.0,,120.0,"['Documentary', 'Music']",8.5,1343
449,tt1848211,tvSeries,Momo Love,Tao Hua xiao mei,0,2009.0,2010.0,75.0,[],6.3,44
450,tt0328390,movie,Second Best,Second Best,0,2004.0,,86.0,[],6.0,386
451,tt1821389,short,The Wind is Blowing on My Street,The Wind is Blowing on My Street,0,2011.0,,15.0,"['Drama', 'Short']",7.5,17
452,tt5578090,short,Somewhere Between Heaven and Hell,Somewhere Between Heaven and Hell,0,2016.0,,15.0,"['Drama', 'Short']",8.3,13
453,tt0091658,movie,Nutcracker,Nutcracker,0,1986.0,,89.0,"['Family', 'Fantasy', 'Music']",7.0,838
454,tt0042226,movie,Battle of Roses,Bara kassen,0,1950.0,,98.0,[],6.5,55
455,tt1115217,tvEpisode,We're Not from Here,We're Not from Here,0,2007.0,,22.0,"['Comedy', 'Romance']",7.7,2480
457,tt0017382,movie,The Show-Off,The Show-Off,0,1926.0,,82.0,"['Comedy', 'Drama']",6.8,242
458,tt0480029,movie,La tragedia de Macario,La tragedia de Macario,0,2005.0,,71.0,[],7.1,69
459,tt0516441,tvEpisode,Tommy's Trip,Tommy's Trip,0,1980.0,,49.0,"['Adventure', 'Crime']",6.6,21
460,tt1297373,tvShort,The Calligrapher,The Calligrapher,0,1991.0,,1.0,"['Animation', 'Short']",6.6,169
461,tt4034398,tvMiniSeries,Life in Squares,Life in Squares,0,2015.0,,171.0,[],6.5,557
462,tt5197828,tvEpisode,Right,Right,0,2016.0,,42.0,"['Crime', 'Drama', 'Mystery']",6.5,641
464,tt1294422,tvSeries,Klinik am Alex,Klinik am Alex,0,2009.0,,45.0,[],5.5,18
465,tt0602294,tvEpisode,A Tiger Hunt in Paris: Part 2,A Tiger Hunt in Paris: Part 2,0,1966.0,,30.0,"['Comedy', 'War']",8.4,103
466,tt0048968,short,Aux frontières de l'homme,Aux frontières de l'homme,0,1953.0,,20.0,"['Documentary', 'Short']",5.0,5
467,tt0599795,tvEpisode,Protean Challenge,Protean Challenge,0,1996.0,,44.0,"['Action', 'Adventure', 'Drama']",7.7,162
468,tt0760801,tvEpisode,Miss World,Miss World,0,2006.0,,23.0,"['Drama', 'Music']",7.6,16
469,tt0180802,movie,Beloved Love,Ljubavni zivot Budimira Trajkovica,0,1977.0,,100.0,"['Comedy', 'Romance']",7.3,904
471,tt1194559,tvEpisode,Episode #3.19,Episode #3.19,0,2008.0,,58.0,"['Drama', 'Romance']",6.8,12
474,tt1693981,short,Therapy,Therapy,0,2011.0,,14.0,"['Drama', 'Short', 'Thriller']",8.0,7
476,tt10654928,short,Story,Story,0,2019.0,,5.0,"['Animation', 'Short']",6.2,10
477,tt0968279,movie,Die Hochstapler,Die Hochstapler,0,2006.0,,84.0,"['Crime', 'Documentary']",7.5,124
478,tt2871088,short,35 Meters from the Water,35 metriye sathe ab,0,2008.0,,34.0,"['Drama', 'Short']",6.0,8
479,tt3904348,tvEpisode,You'll Know My Name Is the Lord...,You'll Know My Name Is the Lord...,0,2014.0,,86.0,"['Adventure', 'Documentary', 'Reality-TV']",8.9,15
480,tt0030467,movie,Mr. Chump,Mr. Chump,0,1938.0,,60.0,[],5.5,37
481,tt2349608,movie,Fairy Out of Wedluck,Parinaaz,0,2017.0,,87.0,[],6.0,90
484,tt3138376,video,Joy Ride 3: Road Kill,Joy Ride 3: Road Kill,0,2014.0,,95.0,"['Crime', 'Horror', 'Thriller']",4.7,4191
485,tt0575583,tvEpisode,Liebe macht blind,Liebe macht blind,0,1985.0,,50.0,[],7.2,10
486,tt0160465,video,Lick Bush,Lick Bush,1,1992.0,,78.0,[],7.1,9
488,tt1914044,tvEpisode,Jailbird and Jailbunny,Jailbird and Jailbunny,0,2011.0,,22.0,"['Adventure', 'Animation', 'Comedy']",7.5,98
489,tt1827006,tvEpisode,Greece,Greece,0,2011.0,,43.0,[],8.6,18
490,tt0684903,tvEpisode,Steele on the Air,Steele on the Air,0,1986.0,,49.0,"['Action', 'Adventure', 'Comedy']",7.1,52
491,tt0565992,tvEpisode,The Cutting of the Swath,The Cutting of the Swath,0,2003.0,,40.0,"['Crime', 'Drama']",7.8,26
492,tt0882806,movie,Sugar Boxx,Sugar Boxx,0,2009.0,,86.0,"['Crime', 'Drama']",3.5,229
494,tt5973610,tvEpisode,Just Married,Just Married,0,2016.0,,52.0,[],7.1,8
496,tt0745417,tvEpisode,One of Our Sweathogs Is Missing,One of Our Sweathogs Is Missing,0,1975.0,,30.0,[],7.5,42
497,tt0099527,movie,Exiled in America,Exiled in America,0,1992.0,,84.0,[],4.7,35
500,tt1091188,movie,The Journey,The Journey,0,2007.0,,93.0,"['Comedy', 'Romance']",6.2,80
501,tt0107274,movie,Johnny One Hundred Pesos,Johnny 100 Pesos,0,1993.0,,90.0,"['Crime', 'Drama', 'Thriller']",6.6,522
502,tt3216898,tvEpisode,The Box,The Box,0,2013.0,,21.0,[],7.2,656
503,tt0184662,movie,Lathos ston erota,Lathos ston erota,0,1961.0,,74.0,"['Comedy', 'Romance']",5.8,38
504,tt0496504,tvEpisode,Double Bill: The Compartment/Playmates,Double Bill: The Compartment/Playmates,0,1969.0,,60.0,[],7.0,8
505,tt3196086,tvEpisode,In Blog We Trust,In Blog We Trust,0,2013.0,,21.0,"['Comedy', 'Drama', 'Family']",9.0,9
506,tt7152864,tvEpisode,Kearran Giovanni,Kearran Giovanni,0,2017.0,,21.0,"['Comedy', 'Game-Show']",7.7,10
507,tt7415230,video,Taylor Swift: Look What You Made Me Do Parody,Taylor Swift: Look What You Made Me Do Parody,0,2017.0,,4.0,"['Comedy', 'Short']",5.4,5
508,tt0214223,movie,Gli ultimi,Gli ultimi,0,1963.0,,87.0,[],6.9,34
509,tt1256301,tvEpisode,Nine Lives,Nine Lives,0,2008.0,,44.0,"['Action', 'Crime', 'Drama']",7.6,501
512,tt0098405,movie,Stuk v dver,Stuk v dver,0,1990.0,,80.0,"['Drama', 'History']",6.8,5
513,tt0445176,movie,Alt for Norge,Alt for Norge,0,2005.0,,92.0,"['Comedy', 'Documentary', 'History']",5.9,122
514,tt3680374,tvEpisode,Dance,Dance,0,2014.0,,21.0,[],7.5,591
515,tt0764985,tvMovie,Arnie's World,Arnies Welt,0,2005.0,,88.0,"['Crime', 'Drama']",7.2,57
516,tt6338024,video,PAN.rm,PAN.rm,0,2013.0,,2.0,"['Comedy', 'Short']",9.2,65
521,tt3548468,tvSeries,Elders React,Elders React,0,2012.0,,8.0,"['Comedy', 'Reality-TV']",5.8,701
524,tt0140055,movie,Fool's Gold,Fool's Gold,0,1999.0,,95.0,[],5.4,11
526,tt1714051,movie,From the Head,From the Head,0,2011.0,,95.0,[],7.4,90
527,tt0120889,movie,What Dreams May Come,What Dreams May Come,0,1998.0,,113.0,"['Drama', 'Fantasy', 'Romance']",7.1,99329
528,tt0406773,tvMovie,Les filles du calendrier sur scène,Les filles du calendrier sur scène,0,2004.0,,90.0,[],5.3,6
529,tt0961148,tvMovie,Do Communists Have Better Sex?,Liebte der Osten anders? - Sex im geteilten Deutschland,0,2006.0,,51.0,[],7.0,46
530,tt6797982,short,After Thoughts,After Thoughts,0,2017.0,,7.0,[],8.0,7
531,tt1582450,tvMovie,"You Ain't Seen All These, Right?","You Ain't Seen All These, Right?",0,1999.0,,30.0,[],7.6,9
532,tt0116884,tvMovie,Lily Dale,Lily Dale,0,1996.0,,98.0,[],4.9,143
533,tt0097041,tvMovie,Champagne Charlie,Champagne Charlie,0,1989.0,,190.0,"['Adventure', 'Drama', 'Romance']",5.4,216
534,tt1862116,video,The Magick of Solomon,The Magick of Solomon,0,1996.0,,82.0,[],4.1,12
535,tt11195444,tvEpisode,Delirium,Delirium,0,2019.0,,46.0,"['Crime', 'Thriller']",7.1,7
536,tt11804172,tvEpisode,More Love More Problems,More Love More Problems,0,2020.0,,43.0,[],5.3,6
537,tt1555199,tvMovie,Lindsey's Way,Lindsey's Way,0,2009.0,,60.0,[],6.1,12
538,tt5218252,tvEpisode,Rapacity in Blue,Rapacity in Blue,0,2016.0,,22.0,"['Animation', 'Comedy', 'Sci-Fi']",8.8,112
539,tt0772731,movie,Between the Devil and the Wide Blue Sea,Between the Devil and the Wide Blue Sea,0,2005.0,,89.0,"['Documentary', 'Music']",6.6,28
540,tt0239608,movie,Maula Jat,Maula Jat,0,1979.0,,156.0,"['Action', 'Drama']",7.2,342
541,tt0685170,tvEpisode,CSI: Reno,CSI: Reno,0,2005.0,,22.0,"['Comedy', 'Crime']",7.3,64
543,tt0954980,tvMovie,Tourette de France,Tourette de France,0,2007.0,,60.0,[],6.9,27
544,tt0734655,tvEpisode,The Little People,The Little People,0,1962.0,,25.0,"['Drama', 'Fantasy', 'Horror']",8.1,1559
545,tt0829694,tvEpisode,Casino Food Recycler,Casino Food Recycler,0,2006.0,,43.0,[],7.5,32
546,tt0107466,tvEpisode,The Lynchburg Story,The Lynchburg Story,0,1994.0,,60.0,"['Documentary', 'History']",8.8,12
547,tt10009596,short,Moonwalk with Me,Moonwalk with Me,0,2018.0,,12.0,"['Fantasy', 'Short']",8.5,15
548,tt0241687,movie,Loving Memory,Loving Memory,0,1971.0,,57.0,[],6.1,233
549,tt1094248,tvMovie,He Kills Coppers,He Kills Coppers,0,2008.0,,139.0,"['Crime', 'Drama']",6.4,168
550,tt8163822,short,The Neighbors' Window,The Neighbors' Window,0,2019.0,,21.0,"['Drama', 'Short']",7.2,2222
551,tt8461210,tvEpisode,Lena Headey,Lena Headey,0,2018.0,,39.0,"['Adventure', 'Comedy', 'Reality-TV']",8.0,31
552,tt0185348,movie,Guru das Sete Cidades,Guru das Sete Cidades,0,1972.0,,85.0,[],5.1,11
554,tt0034839,movie,Die heimliche Gräfin,Die heimliche Gräfin,0,1942.0,,96.0,[],5.9,19
555,tt0879821,short,Independence Day,Independence Day,0,2006.0,,7.0,"['Drama', 'Short']",4.2,24
556,tt7380754,tvEpisode,"Dewey Defeats Truman, the Real Jekyll and Hyde and Sunken Steamship Treasure","Dewey Defeats Truman, the Real Jekyll and Hyde and Sunken Steamship Treasure",0,2017.0,,42.0,"['Adventure', 'Biography', 'Crime']",9.0,6
557,tt9061848,movie,Benzine,Benzine,0,2017.0,,90.0,[],8.1,16
558,tt0817353,tvEpisode,The Binky Show/U.S. Acres: Keeping Cool/Don't Move!,The Binky Show/U.S. Acres: Keeping Cool/Don't Move!,0,1988.0,,23.0,"['Animation', 'Comedy', 'Family']",7.2,26
559,tt0544561,tvEpisode,The Bridge at Chalons,The Bridge at Chalons,0,1963.0,,60.0,"['Action', 'Drama', 'War']",8.6,56
560,tt1717188,short,Pascal's Bullet,Pascal's Bullet,0,2010.0,,13.0,"['Drama', 'Short', 'Thriller']",7.6,8
561,tt9061882,tvEpisode,Up All Night,Up All Night,0,2018.0,,24.0,[],6.8,5
564,tt0047245,movie,El monstruo en la sombra,El monstruo en la sombra,0,1955.0,,92.0,[],5.4,5
565,tt2456810,short,It Started with Money,It Started with Money,0,2012.0,,8.0,"['Short', 'Western']",8.7,7
566,tt0253219,movie,The Long Haired Warriors,The Long Haired Warriors,0,1998.0,,60.0,[],8.0,8
569,tt6586842,tvEpisode,Episode #2.1,Episode #2.1,0,2017.0,,58.0,[],7.2,8
572,tt7360298,short,10 Days That #Rekt Eugene Muller,10 Days That #Rekt Eugene Muller,0,2017.0,,18.0,"['Comedy', 'Short']",8.0,6
574,tt0177983,tvEpisode,Der Hinterhalt,Der Hinterhalt,0,1980.0,,90.0,"['Crime', 'Drama']",6.1,23
575,tt0091608,movie,Nanou,Nanou,0,1986.0,,110.0,"['Drama', 'Romance']",5.8,135
577,tt1160044,tvShort,Madeline,Madeline,0,1988.0,,30.0,"['Animation', 'Family', 'Musical']",7.6,136
578,tt0567553,tvEpisode,The Siege: Part 2,The Siege: Part 2,0,1987.0,,47.0,"['Drama', 'Romance']",6.6,29
579,tt0083717,movie,Cannery Row,Cannery Row,0,1982.0,,120.0,"['Comedy', 'Drama', 'Romance']",6.7,3233
580,tt0617603,tvEpisode,Police des viols,Police des viols,0,1993.0,,90.0,"['Crime', 'Drama']",7.2,6
581,tt0950773,short,Toxin,Toxin,0,2005.0,,25.0,"['Action', 'Short']",5.4,9
582,tt0189736,short,Mighty Like a Moose,Mighty Like a Moose,0,1926.0,,22.0,"['Comedy', 'Family', 'Romance']",7.0,477
583,tt7039000,movie,American Nightmares,Mr. Malevolent,0,2018.0,,90.0,"['Comedy', 'Horror']",4.1,518
585,tt5051278,tvMovie,A Midsummer Night's Dream,A Midsummer Night's Dream,0,2016.0,,90.0,"['Comedy', 'Fantasy', 'Romance']",6.3,599
588,tt11122312,tvEpisode,Black Christmas,Black Christmas,0,2019.0,,20.0,[],8.8,5
590,tt0414277,video,Men in Back,Men in Back,1,1999.0,,90.0,[],6.2,5
591,tt1289825,short,Owl Creek Bridge,Owl Creek Bridge,0,2007.0,,10.0,"['Drama', 'Short']",6.9,15
592,tt2107088,tvEpisode,Letzte Haltestelle Mord,Letzte Haltestelle Mord,0,2011.0,,45.0,"['Comedy', 'Crime', 'Drama']",6.6,24
593,tt0629586,tvEpisode,The Good Doctor,The Good Doctor,0,2001.0,,45.0,"['Crime', 'Drama', 'Mystery']",8.2,217
595,tt0838867,tvEpisode,Hurter Monkey/Goodbling and the Hip-Hop-Opotamus,Hurter Monkey/Goodbling and the Hip-Hop-Opotamus,0,2006.0,,23.0,"['Adventure', 'Animation', 'Comedy']",7.9,32
597,tt0749524,tvEpisode,To Die in Bettendorf,To Die in Bettendorf,0,1990.0,,47.0,"['Crime', 'Drama', 'Mystery']",7.8,13
598,tt7697912,tvEpisode,Dan Rather/Ana Gasteyer/Ty Segall,Dan Rather/Ana Gasteyer/Ty Segall,0,2017.0,,42.0,"['Comedy', 'Music', 'Talk-Show']",5.6,5
600,tt0329002,movie,Hard Goodbyes: My Father,Dyskoloi apohairetismoi: O babas mou,0,2002.0,,113.0,"['Drama', 'Family']",7.1,423
602,tt0459083,movie,Castle Sinister,Castle Sinister,0,1948.0,,49.0,"['Horror', 'Thriller']",3.6,128
603,tt0878117,video,Fast and the Furious: Tokyo Drift - The Japanese Way,Fast and the Furious: Tokyo Drift - The Japanese Way,0,2006.0,,10.0,"['Action', 'Short']",6.4,299
605,tt9141176,tvEpisode,59 horas desaparecido,59 horas desaparecido,0,2019.0,,48.0,"['Crime', 'Drama', 'Thriller']",8.1,674
606,tt1073547,short,Das triadische Ballett,Das triadische Ballett,0,1970.0,,29.0,"['Music', 'Short']",7.7,58
607,tt0673683,tvEpisode,The Most Deadly Angel,The Most Deadly Angel,0,1961.0,,30.0,"['Action', 'Crime', 'Drama']",7.3,38
608,tt0101115,tvSeries,Herman's Head,Herman's Head,0,1991.0,1994.0,30.0,[],7.1,1743
610,tt3526706,movie,Chevalier,Chevalier,0,2015.0,,105.0,"['Comedy', 'Drama']",6.3,3890
612,tt10924716,movie,The Crystal Calls - Making the Dark Crystal: Age of Resistance,The Crystal Calls - Making the Dark Crystal: Age of Resistance,0,2019.0,,82.0,[],7.6,378
