,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes
75,tt4148174,tvEpisode,Sabertooth,Sabertooth,0,2012.0,,25.0,"['Action', 'Adventure', 'Animation']",7.8,39
76,tt6036624,tvEpisode,Creepers,Creepers,0,2017.0,,42.0,"['Comedy', 'Crime']",6.8,71
77,tt0667857,tvEpisode,Abaddon,Abaddon,0,2000.0,,44.0,"['Drama', 'Fantasy', 'Horror']",6.5,111
80,tt0602354,tvEpisode,Klink vs. the Gonculator,Klink vs. the Gonculator,0,1968.0,,30.0,"['Comedy', 'War']",8.6,108
81,tt2382804,tvEpisode,Miracle in the Marshes of Iraq,Miracle in the Marshes of Iraq,0,2011.0,,60.0,[],8.3,14
82,tt1250316,tvEpisode,Jobs for the Boys,Jobs for the Boys,0,1982.0,,54.0,[],7.9,46
83,tt0750263,tvEpisode,The Deadly Dolphin,The Deadly Dolphin,0,1978.0,,43.0,"['Action', 'Adventure', 'Drama']",7.5,89
85,tt0173022,short,Portret mezczyzny z medalem,Portret mezczyzny z medalem,0,1959.0,,13.0,[],7.2,13
89,tt8528008,tvEpisode,Beautiful Dream: Daybreak,Beautiful Dream: Daybreak,0,2018.0,,24.0,"['Action', 'Animation', 'Drama']",8.6,126
90,tt0299981,tvMovie,Highlander: The Source,Highlander: The Source,0,2007.0,,86.0,"['Action', 'Adventure', 'Drama']",3.1,8855
91,tt3251302,tvEpisode,Episode #1.7,Episode #1.7,0,1994.0,,44.0,[],4.6,16
94,tt0361607,tvMovie,"Fatou, l'espoir","Fatou, l'espoir",0,2003.0,,90.0,[],5.8,23
95,tt0748656,tvEpisode,Identity,Identity,0,2005.0,,43.0,"['Drama', 'Family', 'Romance']",7.6,28
97,tt7764596,tvEpisode,And the Nurses Get Screwed,And the Nurses Get Screwed,0,2018.0,,44.0,[],7.9,494
98,tt0103488,tvSeries,Martin,Martin,0,1992.0,1997.0,30.0,"['Comedy', 'Drama', 'Romance']",7.4,7173
99,tt0397702,tvMovie,Unseen + Untold: The Blues Brothers,Unseen + Untold: The Blues Brothers,0,2004.0,,60.0,[],8.1,9
100,tt0565607,tvEpisode,Burglary: The Son,Burglary: The Son,0,1970.0,,30.0,"['Crime', 'Drama', 'Mystery']",7.4,41
103,tt1443929,tvEpisode,Juryoku no Soko no Hakaba: Part 2,Juryoku no Soko no Hakaba: Part 2,0,1978.0,,24.0,"['Adventure', 'Animation', 'Drama']",5.5,13
104,tt2416512,short,Dragons 3D,Dragons: Real Myths and Unreal Creatures,0,2013.0,,43.0,"['Fantasy', 'History', 'Mystery']",5.5,71
106,tt3274666,movie,The Three Musketeers,Tri mushketera,0,2013.0,,112.0,[],3.6,227
108,tt0748461,tvEpisode,The Legend of Ha Long Bay,The Legend of Ha Long Bay,0,2000.0,,23.0,"['Adventure', 'Animation', 'Comedy']",7.4,17
109,tt1753383,movie,A Dog's Purpose,A Dog's Purpose,0,2017.0,,100.0,"['Adventure', 'Comedy', 'Drama']",7.2,61521
110,tt5918162,tvEpisode,Star Trek Beyond,Star Trek Beyond,0,2016.0,,51.0,"['Comedy', 'Talk-Show']",7.5,26
111,tt0503700,tvEpisode,Regret to Inform,Regret to Inform,0,2004.0,,43.0,"['Comedy', 'Drama', 'Family']",5.7,50
112,tt0591096,tvEpisode,Pennies from Heaven,Pennies from Heaven,0,1998.0,,29.0,"['Comedy', 'Drama', 'Fantasy']",7.6,27
113,tt9105628,movie,"Casanova, Last Love",Dernier amour,0,2019.0,,98.0,"['Drama', 'History', 'Romance']",4.8,216
115,tt3124986,movie,Summer '82: When Zappa Came to Sicily,Summer '82: When Zappa Came to Sicily,0,2013.0,,81.0,"['Biography', 'Documentary', 'Music']",7.3,33
116,tt0137923,movie,Through the Fog,Läpi usvan,0,1948.0,,99.0,[],5.4,25
117,tt0535999,tvEpisode,Lady on the Run,Lady on the Run,0,1975.0,,60.0,"['Action', 'Crime', 'Drama']",7.7,25
119,tt3269558,tvSeries,Max En Billy's Drill Machine Girl,Max En Billy's Drill Machine Girl,0,2013.0,,10.0,"['Adventure', 'Comedy', 'Horror']",7.7,14
120,tt7831674,movie,Raoul Taburin,Raoul Taburin,0,2018.0,,89.0,[],6.0,390
121,tt2968220,tvEpisode,Episode #10.25,Episode #10.25,0,2013.0,,85.0,"['Action', 'Sport']",7.5,6
122,tt7265314,tvEpisode,The Case of the Drowned Women,The Case of the Drowned Women,0,2016.0,,47.0,[],9.3,39
124,tt6386800,tvEpisode,Carrie Dates a Hunk,Carrie Dates a Hunk,0,2017.0,,21.0,[],7.8,80
125,tt0064935,movie,Sara Akash,Sara Akash,0,1969.0,,100.0,[],7.1,52
126,tt0591085,tvEpisode,Just One More Chance,Just One More Chance,0,1995.0,,29.0,"['Comedy', 'Drama', 'Fantasy']",7.1,39
127,tt5680744,movie,Permitidos,Permitidos,0,2016.0,,106.0,"['Comedy', 'Romance']",5.6,765
129,tt0024809,movie,6 Day Bike Rider,6 Day Bike Rider,0,1934.0,,69.0,"['Comedy', 'Sport']",6.1,297
132,tt7243336,video,Elvis Costello & the Attractions: Accidents Will Happen,Elvis Costello & the Attractions: Accidents Will Happen,0,1979.0,,2.0,"['Animation', 'Music', 'Short']",7.2,10
134,tt0572531,tvEpisode,Always a Lady,Always a Lady,0,1988.0,,45.0,"['Action', 'Crime', 'Drama']",7.6,29
136,tt0594025,tvEpisode,Cale,Cale,0,1962.0,,60.0,[],8.2,99
137,tt2376432,short,Love Never Dies,Love Never Dies,0,2012.0,,37.0,"['Crime', 'Horror', 'Mystery']",8.1,11
139,tt0504404,tvEpisode,"Have You Seen Your Mother, Baby, Standing in the Shadow?","Have You Seen Your Mother, Baby, Standing in the Shadow?",0,1989.0,,30.0,"['Comedy', 'Family', 'Sci-Fi']",7.5,147
140,tt6338762,tvMiniSeries,They Had a Dream,Le rêve français,0,2017.0,,186.0,[],6.3,23
142,tt3949056,movie,"O, Brazen Age","O, Brazen Age",0,2015.0,,80.0,[],6.8,21
143,tt4437308,tvEpisode,Amster-damn!,Amster-damn!,0,2015.0,,44.0,[],7.5,19
145,tt0441461,short,Runner,Runner,0,2004.0,,7.0,[],5.8,5
146,tt0198977,short,Revolución,Revolución,0,1963.0,,9.0,"['Documentary', 'Short']",7.8,49
148,tt1773722,movie,The Dark Side of Chocolate,The Dark Side of Chocolate,0,2010.0,,46.0,"['Documentary', 'News']",7.5,320
150,tt1105727,movie,Freezer Burn: The Invasion of Laxdale,Freezer Burn: The Invasion of Laxdale,0,2008.0,,90.0,"['Action', 'Adventure', 'Comedy']",4.4,392
151,tt3954426,tvEpisode,Bleeding Kansas,Bleeding Kansas,0,2014.0,,42.0,"['Drama', 'Western']",8.6,437
154,tt0034248,movie,Suspicion,Suspicion,0,1941.0,,99.0,"['Mystery', 'Thriller']",7.4,30602
